	0	1	2	3
2	-0.00603363	-0.999513	0.0306036	0.0372659
3	-0.0137057	-0.999887	0.00617998	0.0156065
5	-0.999959	-0.00226387	-0.00881663	0.08083
8	-0.0201835	-0.999672	0.0157439	0.0771864
9	0.178341	-0.983904	-0.0112561	0.129387
10	-0.0137057	-0.999887	0.00617998	0.0156065
12	-0.999959	-0.00226387	-0.00881663	0.08083
15	-0.0201835	-0.999672	0.0157439	0.0771864
16	0.178341	-0.983904	-0.0112561	0.129387
17	-0.0137057	-0.999887	0.00617998	0.0156065
19	-0.999959	-0.00226387	-0.00881663	0.08083
22	-0.0201835	-0.999672	0.0157439	0.0771864
23	0.178341	-0.983904	-0.0112561	0.129387
24	-0.0137057	-0.999887	0.00617998	0.0156065
26	-0.999959	-0.00226387	-0.00881663	0.08083
29	-0.0201835	-0.999672	0.0157439	0.0771864
30	0.178341	-0.983904	-0.0112561	0.129387
31	-0.0137057	-0.999887	0.00617998	0.0156065
33	-0.999959	-0.00226387	-0.00881663	0.08083
36	-0.0201835	-0.999672	0.0157439	0.0771864
37	0.178341	-0.983904	-0.0112561	0.129387
38	-0.0137057	-0.999887	0.00617998	0.0156065
40	-0.999959	-0.00226387	-0.00881663	0.08083
43	-0.0201835	-0.999672	0.0157439	0.0771864
44	0.178341	-0.983904	-0.0112561	0.129387
45	-0.0137057	-0.999887	0.00617998	0.0156065
47	-0.999959	-0.00226387	-0.00881663	0.08083
50	-0.0201835	-0.999672	0.0157439	0.0771864
51	0.178341	-0.983904	-0.0112561	0.129387
52	-0.0137057	-0.999887	0.00617998	0.0156065
54	-0.999959	-0.00226387	-0.00881663	0.08083
57	-0.0201835	-0.999672	0.0157439	0.0771864
58	0.178341	-0.983904	-0.0112561	0.129387
59	-0.0137057	-0.999887	0.00617998	0.0156065
61	-0.999959	-0.00226387	-0.00881663	0.08083
64	-0.0201835	-0.999672	0.0157439	0.0771864
65	0.178341	-0.983904	-0.0112561	0.129387
66	-0.0137057	-0.999887	0.00617998	0.0156065
68	-0.999959	-0.00226387	-0.00881663	0.08083
71	-0.0201835	-0.999672	0.0157439	0.0771864
72	0.178341	-0.983904	-0.0112561	0.129387
73	-0.0137057	-0.999887	0.00617998	0.0156065
75	-0.999959	-0.00226387	-0.00881663	0.08083
78	-0.0201835	-0.999672	0.0157439	0.0771864
79	0.178341	-0.983904	-0.0112561	0.129387
80	-0.0137057	-0.999887	0.00617998	0.0156065
82	-0.999959	-0.00226387	-0.00881663	0.08083
85	-0.0201835	-0.999672	0.0157439	0.0771864
